#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Entrez le mot de passe correct ci-dessus, puis saisissez les caractères indiqués par l'image ci-dessous.
#From:regenerate,Regenerate
regenerate,Générer à nouveau
#From: hhsd.intro,All of your WAN and LAN connection details are displayed here.
hhsd.intro, Tous vos détails de connexion WAN et LAN sont montrés ici.
#From: sl.alert.1,Are you sure you want to clear all log entries?
sl.alert.1,Êtes-vous certain de vouloir effacer toutes les entrées du journal ?
#From: sl.SLogs,System Logs
sl.SLogs, SYSLOG
#From: sl.intro,Use this option to view the router logs. You can define what types of events you want to view and the event levels to view. This router also has external syslog server support so you can send the log files to a computer on your network that is running a syslog utility.
sl.intro, Employez cette option pour voir les journaux du routeur. Vous pouvez définir quels types d'événements vous voulez voir et les niveaux d'événement à regarder. Ce routeur supporte également un serveur syslog externe pour envoyer les dossiers journaux à un ordinateur sur votre réseau qui le supporte.
#From: sl.LogOps,Log Options
sl.LogOps, Options Journal
#From: sl.FWandSec,Firewall &amp; Security
sl.FWandSec,Pare-feu &amp Sécurité
#From: sl.LogDet,Log Details
sl.LogDet, Détails du journal
#From: hhsl.intro,Check the log frequently to detect unauthorized network usage.
hhsl.intro, Vérifiez le journal fréquemment pour détecter l'utilisation non autorisée du réseau.
#From: .ps,Print Server
.ps,Serveur d'impression
#From: sps.intro2,Print Server Status
sps.intro2, Statut du Serveur d’impression
#From: sps.intro3,Your D-Link Router includes an integrated print server that allows a printer to be shared between multiple computers on your network. This page displays status information about the print server and any attached printer.
sps.intro3, Votre D-Link Router inclut un serveur d'impression intégré qui permet de partager une imprimante entre tous les ordinateurs de votre réseau. Cette page montre le statut du serveur d'impression et de l’imprimante connectée.
#From: sps.ps,Printer Status
sps.ps,État de l'imprimante
#From: sps.fp,The following <span id="status_text">printer is</span> attached to your router.
sps.fp, L'imprimante suivante <span id="status_text"> est </span> attaché à votre routeur.
#From: sps.nopr,No printer detected
sps.nopr,Aucune imprimante détectée
#From: sps.pr,Printer
sps.pr, Imprimante
#From: sps.usbport,USB Port
sps.usbport, Port USB
#From: sps.pare,printers are
sps.pare,les imprimantes sont
#From: tps.raw,Raw TCP Port Printing
tps.raw,Impression sur le port TCP Raw
#From: sps.raw1,Use this information to configure your computer for raw TCP port printing.
sps.raw1, Utilisez cette information pour configurer votre ordinateur pour des impressions port TCP raw.
#From: sps.tcpport,TCP Port
sps.tcpport, Port TCP
#From: tps.lpd,LPD/LPR Printing
tps.lpd,Impression LDP/LPR
#From: sps.lpd1,Use this information to configure your computer for LPD/LPR printing.
sps.lpd1, Employez cette information pour configurer votre ordinateur pour l'impression LPD/LPR.
#From: sps.qname,Queue Name
sps.qname, Nom de file d’attente
#From: sr.RTable,Routing Table
sr.RTable, Table de routage
#From: sr.intro,This page displays the routing details configured for your router.
sr.intro, Cette page affiche les détails de routage configurés sur votre routeur.
#From: .tstats,Traffic Statistics
.tstats,Statistiques sur le trafic
#From: ss.title.stats,Network Traffic Stats
ss.title.stats, Stat du trafic de réseau
#From: ss.intro,Traffic Statistics display Receive and Transmit packets passing through your router.
ss.intro, Les statistiques de trafic affichent les paquets reçus et transmis à travers votre routeur.
#From: ss.reload,Refresh Statistics
ss.reload, Rafraichir les statistiques
#From: ss.clear_stats,Clear Statistics
ss.clear_stats, Effacer les statistiques
#From: ss.LANStats,LAN Statistics
ss.LANStats, Statistiques du LAN
#From: ss.WANStats,WAN Statistics
ss.WANStats, Statistiques du WAN
#From: ss.WStats,Wireless Statistics
ss.WStats, Statistiques sans fil
#From: hhss.intro,This is a summary of the number of packets that have passed between the WAN and the LAN since the router was last initialized.
hhss.intro, C'est un résumé du nombre de paquets qui sont passé entre le WAN et le LAN depuis que le routeur a été initialisé pour la dernière fois.
#From: sw.title,Associated Wireless Client List
sw.title, Liste des clients sans fil associés
#From: sw.intro,Use this option to view the wireless clients that are connected to your wireless router.
sw.intro, Utilisez cette option pour voir les clients sans fil qui sont reliés à votre routeur sans fil.
#From: sw.title.list,Number Of Wireless Clients
sw.title.list,Nombre de clients sans fil
#From: hhsw.intro,This is a list of all wireless clients that are currently connected to your wireless router.
hhsw.intro, C'est la liste de tous les clients sans fil qui sont actuellement reliés à votre routeur sans fil.
#From: ta.alert.1,Invalid value for Admin Idle Timeout, should be in range (1..65535)
ta.alert.1,Valeur non valide pour le dépassement de temps mort Admin, elle doit être comprise entre 1 et 65535.
#From: .pwsame_admin,Please make the two admin passwords the same and try again
.pwsame_admin,Les deux mots de passe Admin ne sont pas identiques ; corrigez-les puis réessayez.
#From: .pwsame_user,Please make the two user passwords the same and try again
.pwsame_user,Les deux mots de passe Utilisateur ne sont pas identiques ; corrigez-les puis réessayez.
#From: ta.alert.3,"Invalid remote management port '"+data.wan_web_port+"', should be in range (1..65535)"
ta.alert.3,"Port de gestion à distance '"+data.wan_web_port+"' non valide, il doit être compris entre 1 et 65535."
#From: .syslog,SysLog
.syslog, SysLog
#From: .email,EMail Settings
.email, Réglages d’ EMail
#From: ta.AdmSt,Administrator Settings
ta.AdmSt,Paramètres d'administrateur
#From: ta.intro1,The 'admin' and 'user' accounts can access the management interface. The admin has read/write access and can change passwords, while the user has read-only access.
ta.intro1, Les comptes d’'admin' et d' utilisateur’ peuvent accéder à l'interface de gestion. L'admin a un accès en lecture/écriture et peut changer les mots de passe, alors que l'utilisateur n’a qu’un accès en lecture.
#From: ta.intro.Adm2,By default there is no password configured. It is highly recommended that you create a password to keep your router secure.
ta.intro.Adm2, Par défaut il n'y a aucun mot de passe de configuré. Il est sérieusement recommandé de créer un mot de passe pour sécuriser votre routeur.
#From: ta.msg.TW,Please enter the same password into both boxes, for confirmation.
ta.msg.TW, Veuillez saisir le même mot de passe dans les deux boîtes, pour confirmation.
#From: ta.sn,System Name
ta.sn, Nom du système
#From: ta.A12n,Administration
ta.A12n,Administration
#From: hhta.pw,For security reasons, it is recommended that you change the password for the Admin and User accounts. Be sure to write down the new and passwords to avoid having to reset the router in case they are forgotten.
hhta.pw, Pour des raisons de sécurité, Il est recommandé que vous changiez le mot de passe pour les comptes Admin et Utilisateur. Assurez-vous que vous avez noté le nouveau mot de passe pour éviter de réinitialiser le routeur au cas où il serait oublié.
#From: hhta.en,Enabling Remote Management, allows you or others to change the router configuration from a computer on the Internet.
hhta.en, L’activation de la gestion à distance vous permet ou à d’autres personnes de changer la configuration du routeur à partir d'un ordinateur sur l'Internet.
#From: hhta.pt,Choose a port to open for remote management.
hhta.pt, Choisissez un port pour ouvrir la gestion à distance.
#From: .connow,Windows Connect Now
.connow, Windows Connect Now
#From: td.alert.2,The timeout value can not be zero.
td.alert.2,La valeur du temps de dépassement ne peut pas être égale à zéro.
#From: td.alert.3,The timeout value can not be greater than 8760.
td.alert.3,La valeur du temps de dépassement ne peut pas être supérieure à 8760.
#From: td.DDNSDDNS,Dynamic DNS (DDNS)
td.DDNSDDNS, DNS Dynamique (DDNS)
#From: td.intro.DDNS,The DDNS feature allows you to host a server (Web, FTP, Game Server, etc...) using a domain name that you have purchased (www.whateveryournameis.com) with your dynamically assigned IP address. Most broadband Internet Service Providers assign dynamic (changing) IP addresses. Using a DDNS service provider, your friends can enter your host name to connect to your game server no matter what your IP address is.
td.intro.DDNS, Le dispositif DDNS vous permet d'héberger un serveur (Web, FTP, serveur de jeu, etc…) en employant un Nom de domaine que vous avez acheté (www.n’importequelnom.com) avec votre adresse IP dynamiquement assignée. La plupart des Fournisseurs d’accès Internet haut débit assignent des adresses IP dynamiques (changante). En utilisant un fournisseur de service DDNS, vos amis peuvent saisir votre nom d'hôte pour se relier à votre serveur de jeu quoi qu’il arrive à votre adresse IP .
